10	Pamatang Sidamanik
11	Tanah Jawa
12	Hatonduhan
13	Dolok Panribuan
14	Purba
15	Haranggaol Horisan
16	Girsang Sipangan Bolon
17	Dolok Batu Nanggar
18	Hutabayu Raja
19	Jawa Maraja Bah Jambi
20	Dolok Pardamean
21	Pematang Bandar
22	Bandar Huluan
23	Bandar
24	Bandar Masilam
25	Silimakuta
26	Dolok Silao
27	Silou Kahean
28	Tapian Dolok
29	Raya
30	Ujung Padang
31	Pamatang Silima Huta
32	Dolog Masagal
01	Siantar
02	Gunung Malela
03	Gunung Maligas
04	Panei
05	Panombeian Panei
06	Jorlang Hataran
07	Raya Kahean
08	Bosar Maligas
09	Sidamanik
