Jawa Barat	Kabupaten Bogor
10	Parung
11	Gunungsindur
12	Kemang
13	Bojonggede
14	Leuwiliang
15	Ciampea
16	Cibungbulang
17	Pamijahan
18	Rumpin
19	Jasinga
20	Parungpanjang
21	Nanggung
22	Cigudeg
23	Tenjo
24	Ciawi
25	Cisarua
26	Megamendung
27	Caringin
28	Cijeruk
29	Ciomas
30	Dramaga
31	Tamansari
32	Klapanunggal
33	Ciseeng
34	Rancabungur
35	Sukajaya
36	Tanjungsari
37	Tajurhalang
38	Cigombong
39	Leuwisadeng
40	Tenjolaya
01	Cibinong
02	Gunungputri
03	Citeureup
04	Sukaraja
05	Babakan Madang
06	Jonggol
07	Cileungsi
08	Cariu
09	Sukamakmur
