Papua Pegunungan	Kabupaten Tolikara
10	Woniki
11	Kubu
12	Konda/Kondaga
13	Nelawi
14	Kuari
15	Bokoneri
16	Bewani
17	Nabunage
18	Gilubandu
19	Nunggawi
20	Gundagi
21	Numba
22	Timori
23	Dundu
24	Geya
25	Egiam
26	Poganeri
27	Kamboneri
28	Airgaram
29	Wari/Taiyeve II
30	Dow
31	Tagineri
32	Yuneri
33	Wakuwo
34	Gika
35	Telenggeme
36	Anawi
37	Wenam
38	Wugi
39	Danime
40	Tagime
41	Kai
42	Aweku
43	Bogonuk
44	Li Anogomma
45	Biuk
46	Yuko
01	Karubaga
02	Bokondini
03	Kanggime
04	Kembu
05	Goyage
06	Wunim
07	Wina
08	Umagi
09	Panaga
